ID,SOC,ELEV,Aspect,Slope,TPI,K_Factor,MAP,MAT,NDVI,Slit_Clay,NLCD,FRG,NLCD_DES,FRG_DES
117,10.993,3618.02417,165.9919128,26.10416222,16.70625687,0.05468085,1128.114502,-0.591063797,0.454393744,23.5861702,6,5,Herbaceous,Fire Regime Group V
118,0.645,1994.089966,185.084671,3.083681345,-1.454293966,0.279795915,268.5062561,5.916581631,0.200428322,35.15612411,5,4,Shrubland,Fire Regime Group IV
119,5.215,2117.37915,182.5796814,6.171863556,-0.725036025,0.273900002,441.9544067,5.56430006,0.423254371,51.31399918,5,4,Shrubland,Fire Regime Group IV
120,5.38,1925.557373,200.5905762,8.501875877,-1.927777171,0.314479172,378.7742004,8.509479523,0.439929545,53.68333435,5,3,Shrubland,Fire Regime Group III
121,0.5,2037.308472,172.5756378,1.489132643,-0.924403012,0.291734695,254.5331421,5.800714493,0.173888609,43.67551041,5,4,Shrubland,Fire Regime Group IV
122,2.649,1601.399292,149.6914215,4.326188564,0.408950478,0.148900002,372.3293152,14.3199501,0.211360663,54.06900024,5,2,Shrubland,Fire Regime Group II
123,21.125,2777.413574,190.1287842,19.34244156,-14.92387867,0.173299998,615.8423462,4.868100166,0.727437496,56.6269989,4,3,Forest,Fire Regime Group III
124,7.109,2219.553467,172.9072113,14.14468575,-1.828350544,0.224489793,541.7634888,5.760000229,0.620759666,51.63877487,4,3,Forest,Fire Regime Group III
125,9.345,2782.046387,149.7957611,11.6151619,-6.018841743,0.280000001,814.0435791,3.691950083,0.781474531,62.86199951,4,4,Forest,Fire Regime Group IV
126,4.83,1574.089111,149.7092896,6.087800026,2.635663509,0.200816333,308.5285034,14.64173508,0.205071822,52.29795837,5,3,Shrubland,Fire Regime Group III
127,3.02,2089.066162,157.7224121,4.34867239,-3.37101078,0.163636357,274.9546509,8.673484802,0.213993266,59.40100861,5,4,Shrubland,Fire Regime Group IV
128,11.615,1631.555298,192.4636383,6.854818344,1.969016433,0.3389,378.262207,6.826449871,0.298177838,61.61800003,5,4,Shrubland,Fire Regime Group IV
129,9.151,2702.168457,190.7331848,13.88063431,2.608840227,0.253061235,750.4204102,3.368469477,0.770299137,52.58469391,4,3,Forest,Fire Regime Group III
130,6.33,2202.125488,173.2072601,14.28665352,-0.710112453,0.214845359,595.0286865,5.510618687,0.656873167,48.70927811,4,3,Forest,Fire Regime Group III
131,1.46,2043.558228,149.3292084,3.754749537,-1.085454226,0.312886596,262.7051086,5.880412579,0.17308946,47.21752548,5,4,Shrubland,Fire Regime Group IV
132,3.539,1655.756348,129.142868,5.790001869,-0.161515966,0.209081635,284.2162476,13.67749977,0.189074486,38.15816498,5,3,Shrubland,Fire Regime Group III
133,2.425,1943.213257,120.0071259,6.388082027,-1.420102596,0.224199995,335.3102112,11.35785007,0.211839944,37.51399994,5,3,Shrubland,Fire Regime Group III
134,0.446,1986.571533,175.594574,4.573308945,1.805906773,0.260937512,261.5091248,6.232395649,0.218770355,33.08124924,5,4,Shrubland,Fire Regime Group IV
135,0.804,2182.89624,184.8511505,4.939738274,0.718660295,0.374242425,434.3638611,6.98838377,0.393253922,62.56262589,5,3,Shrubland,Fire Regime Group III
136,3.915,1981.618164,128.3871918,7.504547119,-3.81141758,0.199699998,290.1477356,10.02245045,0.229580045,48.24000168,5,4,Shrubland,Fire Regime Group IV
137,1.13,1986.571533,175.594574,4.573308945,1.805906773,0.260937512,261.5091248,6.232395649,0.218770355,33.08124924,5,4,Shrubland,Fire Regime Group IV
138,1.88,1815.290649,147.8298645,1.53985405,-2.754224062,0.231399998,298.6250916,12.26544952,0.19049935,42.06200027,5,3,Shrubland,Fire Regime Group III
139,1.36,3013.671631,162.6206818,17.72244072,5.115865231,0.232653067,942.8474121,1.672295809,0.655029655,57.43265152,4,3,Forest,Fire Regime Group III
140,18.591,2850.060791,200.0896149,8.261178017,-2.061517715,0.250312507,684.7493896,-0.143489569,0.587387025,43.19583511,4,4,Forest,Fire Regime Group IV
141,2.884,1919.78064,184.1659851,4.518331051,2.663834095,0.344399989,262.3741455,10.56659985,0.165527865,46.29199982,5,3,Shrubland,Fire Regime Group III
142,15.641,2675.311279,201.8581543,12.5693531,7.400763035,0.166199997,827.4679565,2.798550129,0.733742595,52.29800034,4,3,Forest,Fire Regime Group III
143,19.099,2571.253174,193.9253998,8.694936752,-1.287878752,0.239999995,302.295105,4.001049995,0.313479304,53,5,3,Shrubland,Fire Regime Group III
144,1.025,1952.297852,190.859375,6.310817719,0.216951326,0.198181823,261.4597473,10.73681831,0.192817181,47.49494934,5,3,Shrubland,Fire Regime Group III
145,5.721,1737.200439,128.8382416,6.698054314,-2.912328005,0.147448987,292.833374,12.90479565,0.20281823,46.57244873,5,3,Shrubland,Fire Regime Group III
146,8.974,2650.486816,149.4073486,8.470442772,6.007653236,0.167600006,884.5328979,2.478549957,0.592254341,40.08399963,4,3,Forest,Fire Regime Group III
147,10.653,2166.292969,172.8740692,7.256433487,3.084399462,0.201562494,576.1013184,4.703802109,0.670416653,56.54479218,5,3,Shrubland,Fire Regime Group III
